Wall time,Step,Value
1729021872.1765988,1,1.0
1729021886.3526416,2,0.0
1729021912.9245598,3,1.0
1729022184.2952325,6,0.0
1729022227.364785,7,0.0
1729022282.8939936,8,0.0
1729022437.1596994,9,0.0
1729022483.3612738,10,0.0
1729022516.4299576,11,0.0
1729022565.060667,12,0.0
1729022844.2518733,14,0.0
1729022862.3196588,15,0.0
1729022885.569119,16,0.0
1729023079.434316,17,0.0
1729023110.7995503,18,0.0
1729023150.2904954,19,0.0
1729023204.0617163,20,0.0
1729023473.6792378,21,0.0
1729023594.811994,23,0.0
1729023603.230395,24,1.0
1729023865.8979824,25,0.0
1729023927.0568862,26,0.0
1729024360.116184,29,0.0
1729024402.7754405,30,1.0
1729024468.1609173,31,0.0
1729024558.9697704,32,1.0
1729024874.6623924,33,0.0
1729024925.2956874,34,0.0
1729025071.3254194,36,1.0
1729025433.049529,37,0.0
1729025682.177173,40,0.0
1729026085.9374757,41,0.0
1729026185.4310625,43,1.0
1729026766.697971,46,0.0
1729026785.5049145,47,1.0
1729026851.963509,48,0.0
1729027223.1945803,49,0.0
1729027247.762212,50,0.0
1729027252.6443937,51,1.0
1729027299.681844,52,0.0
1729027692.5160155,53,0.0
1729027712.7915955,54,1.0
1729027725.5243726,55,0.0
1729027786.7480078,56,0.0
1729028087.137264,57,0.0
1729028097.704934,58,0.0
1729028100.4883804,59,0.0
1729028163.9964547,60,0.0
1729028495.0167553,61,1.0
1729028571.9515476,62,1.0
1729028653.4054358,63,1.0
1729029037.6823578,65,1.0
1729029075.7830527,66,1.0
1729029153.6196811,67,1.0
1729029216.065667,68,1.0
1729029511.374569,69,0.0
1729029565.2846816,70,1.0
1729029638.018626,71,0.0
1729029704.2578022,72,0.0
1729029973.3086846,73,0.0
1729029996.3188627,74,0.0
1729030052.5764837,75,1.0
1729030084.1016188,76,1.0
1729030343.246353,77,1.0
1729030376.5719023,78,1.0
1729030383.4871042,79,1.0
1729030395.9243252,80,0.0
1729030535.5282552,81,1.0
1729030548.3414493,82,0.0
1729030566.194653,83,1.0
1729030737.5756824,85,0.0
1729030743.83087,86,1.0
1729030755.2138097,87,1.0
1729030769.9162276,88,0.0
1729030892.2948065,89,1.0
1729030915.358706,90,1.0
1729030932.650057,91,1.0
1729030944.040698,92,1.0
1729031085.7392774,93,1.0
1729031109.8104258,94,1.0
1729031132.7049222,95,1.0
1729031144.699582,96,0.0
1729031309.2139924,98,1.0
1729031536.1358132,101,1.0
1729031627.1122646,104,0.0
1729032135.462433,109,1.0
1729032140.865248,110,0.0
1729032141.687545,111,1.0
1729032143.1903484,112,1.0
1729032302.5828128,113,0.0
1729032315.4258862,114,0.0
1729032572.0232604,117,0.0
1729032593.025435,118,0.0
1729032608.6364963,119,0.0
1729032636.944985,120,0.0
1729032819.52923,121,0.0
1729032846.255267,122,0.0
1729032850.8892438,123,0.0
1729033053.4480822,125,1.0
1729033084.9120424,126,1.0
1729033147.7842698,128,0.0
1729033358.5307171,129,0.0
1729033378.6041088,130,1.0
1729033391.2342913,131,0.0
1729033421.47647,132,1.0
1729033636.3789608,133,1.0
1729033659.9539847,134,1.0
1729033702.137462,135,1.0
1729033725.8391428,136,1.0
